fen,depth,cp
3r2k1/ppp3pp/8/4R3/P2P1r2/2P2b2/5RBP/6K1 b - -,40,0.0
r3kb1r/pbpq1ppp/1pnp1n2/4p3/2B1P3/2PP1N1P/PP3PP1/RNBQ1RK1 w kq -,20,85.0
2r3k1/1p5p/p2Rp1p1/P7/8/4B2P/1b3P2/6K1 w - -,25,-10.0
r2q1rk1/p3ppb1/bpp3pp/8/2pPP3/2N2N1P/PPP2PP1/R2QR1K1 w - -,23,72.0
r4rk1/pp2ppbp/2n3p1/q2pPb2/3P3B/3B1N2/PP1nQPPP/R4RK1 w - -,20,-250.0
1rq2r2/1pp2p1k/p2p1bpp/4p3/2P2P2/1P6/PBP1Q1PP/3RR1K1 b - -,23,-78.0
k5r1/p2q2pp/3p1p2/1rpNpP2/2RnP3/P2P4/1P3RPP/1K1Q4 b - -,25,0.0
r7/pp1bk3/4pn2/6p1/8/2NB1PP1/PPP5/2K1R2r w - -,19,79.0
4r3/1p6/p1b2pk1/P2p2r1/3N1Qp1/1P1P2P1/1P4KP/8 b - -,42,0.0
2kr3r/ppp1p1bp/2n1b1p1/4Pp2/5P2/2P1N3/PP2B1PP/R1B1K2R w KQ -,20,71.0
1r1qkb1r/ppp2pp1/2n1pn2/3b4/3P3p/3Q1NP1/PP1NPPBP/R1B2RK1 b k -,20,60.0
2rr2k1/1bq1bppp/p6P/1p1pp1P1/n2QPP2/2N4R/PPP3B1/1KBR4 w - -,27,53.0
rn1qkb1r/ppp2ppp/4pn2/3p1b2/5P2/1P2P3/P1PPB1PP/RNBQK1NR w KQkq -,16,-19.0
8/6k1/2r3p1/5p2/4p2p/6P1/4BPKP/3R4 w - -,20,248.0
r4rk1/pp3ppp/2n1pn2/1B1p3b/1qN5/4PN1P/PPP2PP1/R2Q1RK1 w - -,29,-267.0
2k1r3/1p2r3/p1p5/7p/1P4p1/PQ4P1/4qP1P/3RR1K1 b - -,20,-124.0
r2q2k1/1p5p/p3r1pP/3pp3/6P1/2P1BQ2/PP5R/2KR4 b - -,23,504.0
r3r1k1/1ppq1pp1/3b1n1p/1P3b2/1NP1p3/3pPNP1/5PBP/1RBQ1RK1 w - -,24,128.0
r1b2rk1/1pq2ppp/p3p3/8/1nPb1B2/2N3P1/PP3PBP/R2R2K1 w - -,17,170.0
2qr2k1/p5bp/1p6/6p1/1PP1pp2/2B5/1P2QPPP/4R1K1 b - -,29,3.0
4r3/1p4pk/7p/1N2q3/1PP5/P4QnP/4p1P1/4R1K1 b - -,23,-230.0
r4rk1/ppq2ppp/2n1p3/3n2N1/3PN3/8/PP2QPPP/R3R1K1 b - -,21,-124.0
rn2kb1r/pbq1pppp/1p1p1n2/2p5/P2P4/2P2NP1/1P2PPBP/RNBQ1RK1 b kq -,20,33.0
3r2k1/6p1/p4q1p/1pBn4/1Pp1b3/2P5/P2R2PP/2Q2BK1 w - -,20,-9.0
r1bq2k1/1p1n1p1p/p2p2p1/2pP3n/P3r3/2P1BN1P/3QBPP1/R4RK1 b - -,26,91.0
1r1r3k/2q2p2/1p2p1pb/1Pp1Pn2/2PpBPQ1/P6P/4P2K/2BR2R1 w - -,24,191.0
6r1/2k2N1p/p7/2n1P3/2p5/1P6/P1P4P/R4K2 w - -,20,225.0
r3kb1r/1p1bqppp/p2p1n2/1Bp5/Q3PB2/2N5/PPP2PPP/R4RK1 b kq -,27,82.0
rnb1kb1r/1p3p1p/p4p2/4pN2/3pP3/8/P1qNQPPP/1R2KB1R w Kkq -,20,-164.0
r3kb1r/1bqp1ppp/p3pn2/8/Pp1BPP2/3B1Q2/1PP1N1PP/R3K2R b KQkq -,21,-30.0
r4rk1/4bppp/p1n1p3/3qB3/3P4/P4N1P/4QPP1/R2R2K1 b - -,20,-50.0
rnbqkbnr/pp2pp1p/2pp2p1/8/3PPP2/2P5/PP4PP/RNBQKBNR b KQkq -,31,53.0
r2q1rk1/pb1nbppp/2p5/1N2P2n/4P3/P2BBN2/1P2QPPP/2R2RK1 b q -,21,233.0
3K4/8/8/2R3p1/6k1/8/8/8 b - -,60,0.0
r4rk1/p1pb1p2/p4bpp/3Pp3/2p1P3/PqN2N2/1PQ2PPP/2R1R1K1 w - -,23,52.0
5nk1/5pp1/3Q3p/pp6/2p5/P3PP1q/1P3P1P/2R3K1 b - -,21,130.0
r2qk2r/pp1nbppb/4pn1p/1B1pN3/3P1PP1/2P5/PP5P/RNBQ1RK1 b kq -,21,-42.0
2r1r1k1/2qb1ppp/8/1p1B1P2/3p4/p2PbN2/PPP1Q1PP/1K1RR3 b - -,28,-296.0
7r/pp2k3/1bp1qp2/6p1/2Q2nBP/1P3KP1/P4P2/B2R4 b - -,33,497.0
rb2nrk1/1p3p1p/q1B1p1p1/4P3/p1Np4/6P1/PP1B1P1P/R1R1Q1K1 b - -,28,180.0
8/8/3pk2q/3p2r1/4pp2/P1P4P/1P1Q2PK/3R4 b - -,18,-110.0
r2qr2k/pp1b1pbp/nn4p1/3PN3/2p2P2/P1N1B3/1PB3PP/R2QR2K b - -,21,204.0
r1bqk1nr/pp2ppbp/2n3p1/2pp4/8/1PN1P1P1/PBPP1P1P/R2QKBNR w KQkq -,24,-35.0
2b5/5R2/p6k/6Bp/2P4P/1P6/P4KP1/3r4 b - -,26,526.0
3Q4/pp4pk/4pp1p/8/P4n1P/1P2N3/5PPK/2q5 b - -,18,-299.0
r4rk1/pp1b2pp/1q2p3/2bpP3/P2N4/2PQ4/1P4PP/R1B1K2R w KQ -,22,-157.0
