fen,depth,cp
1k1r3r/pppqb1p1/4bp2/PP6/3N3p/2nP2P1/1Q2PPBP/R4RK1 w - -,27,360.0
3k4/3P4/p7/5P1p/8/3R1KPP/Pr6/8 w - -,20,785.0
1nbq1rk1/r4p1p/3p2pQ/p1pPp2P/Pp2P1n1/4NN2/1PP2PP1/R3KB1R w KQ -,24,210.0
3rr1k1/n4pbp/p3b1p1/N7/P1p2P2/2P4P/1P4PK/R3R3 b - -,24,-584.0
rn3rk1/1pqbbppp/p7/2pp4/P1B1P3/2P2N2/4QPPP/1RB1K2R w K -,24,36.0
7k/pp4pp/8/8/1P2KN1P/P5r1/8/8 w - -,26,-566.0
r2q1rk1/p3bppp/2p2n2/3b4/4pB2/2N3P1/PPQ2PBP/R2R2K1 b - -,21,16.0
r4rk1/1p4pp/pb3p2/2p1p2P/8/1NP2P2/PPKR2P1/7R b - -,27,-119.0
r1b1k2r/pp1n1ppp/1q2pn2/2bpB3/8/P1P1PN1P/R4PP1/1N1QKB1R b Kkq -,26,-260.0
r4r2/4ppkp/1p4p1/3p1n2/P4P2/1PPK4/3N3P/5R1R b - -,16,-169.0
r2qkb1r/ppp2ppp/4bn2/n3p3/3pP3/P5N1/1PPPBPPP/R1BQK1NR w KQkq -,21,16.0
r3k2r/4pp2/p7/1pB1n3/4b3/P6P/1PPKB1P1/R5R1 b kq -,19,24.0
rn2k2r/1p2np1p/p1pqb1p1/3p4/3P4/2NBP3/PPQ2PPP/2KR2NR w kq -,19,24.0
3Q2k1/1br2pP1/p3p1p1/1n1pP3/1q4p1/1P3B2/P5PP/4RR1K b - -,28,244.0
k7/rpp2b2/5K2/p7/8/5Q2/8/8 w - -,52,0.0
2r2rk1/pb3ppp/4p3/5n2/N2b4/P6P/1P2Q1P1/2R2R1K w - -,23,0.0
1r1r2k1/1q3pp1/1P5p/5P2/3p1Q2/8/2P3PP/1R2R1K1 w - -,31,120.0
r1b1r1k1/pppp1pPp/6n1/3P4/1b3P2/2N3Pq/PPP1B2P/R1BQK2R w KQ -,30,-55.0
3n4/4k1p1/6p1/pp1PP3/4N1p1/2K5/5P1P/8 w - -,32,0.0
8/7k/3b4/p4p1P/P2B1P2/6K1/8/8 w - -,34,0.0
6k1/p1R4p/Np5p/8/4n1P1/5r2/PP5P/6K1 b - -,24,0.0
r1b3k1/pp3pp1/2pp3p/8/5QP1/q2P3P/P4PK1/RR6 b - -,26,-53.0
r1b1qrk1/ppp2pb1/n2p1Bpp/4p3/2PPP1n1/2N2N1P/PP2BPP1/R2Q1RK1 b - -,26,-433.0
r3r1k1/p4ppp/2B5/5b2/5B2/b5P1/3R1P1P/R4K2 b - -,23,57.0
r4rk1/pbq2p2/2pb1p1p/n7/8/1P1N4/P1P1BPP1/RN1Q1R1K w - -,21,71.0
rnb1kbnr/pppqp2p/3p4/5p2/3PP1P1/8/PPPNBPP1/RNBQK2R b KQkq -,21,208.0
4r3/p2R1pk1/6p1/2p3R1/4P2P/5PQ1/qpr3P1/6K1 b - -,23,-1445.0
1r5k/1b4pp/3r4/p1p1R2n/P1Pp4/1P1P4/1B5P/5RK1 w - -,18,-314.0
r3qrk1/pp3pbp/3p4/2pNpnN1/3nB3/3P2P1/PPP4P/R1BQ2K1 w - -,23,327.0
rn1q1rk1/pbp1bppp/1p2pn2/8/2P5/2N1PN2/PB1PBPPP/R2QK2R w KQ -,29,4.0
r1b2rk1/pp2qpp1/2pbpN1p/8/2PP4/P2B1N2/1P3PPP/R2QK2R b KQ -,21,-15.0
8/B7/2p1B1k1/6p1/P1P5/r3PK2/8/8 w - -,32,558.0
8/4N3/8/4K1k1/8/8/2B5/8 b - -,23,9605.0
8/8/p7/1r4k1/1p1PKRpp/1P6/PB5P/8 b - -,21,614.0
8/1bp3p1/3k3p/P3n2P/3K1p2/8/1p2B3/R7 w - -,21,12.0
3r1rk1/ppq1bppp/1np1pn2/8/2PP4/1QNbB1P1/PP2NPBP/2R2RK1 w - -,26,34.0
r1bqkb1r/p2n1ppp/2pp1n2/4p3/4P3/5N2/PPPN1PPP/R1BQKB1R w KQkq -,25,-50.0
r2q2k1/pb2rppp/1p2p3/2p1n3/3P4/1BN1P3/PP1Q1PPP/3RR1K1 b - -,19,0.0
3r4/3P2k1/1p3p1p/8/P4P2/PB2Kp1P/1B6/8 w - -,21,965.0
r4rk1/1bq1bppp/ppn1pn2/3pN3/3P1PP1/2PB4/PP1NQ2P/R1B1R1K1 b - -,21,48.0
8/8/p2R4/Pp2K1kp/1P6/2r1P2P/6P1/8 w - -,22,592.0
2b1r1k1/6r1/p1q1p1pR/1p1p1pP1/3P1b2/1QP2N2/PP1N1P2/2K4R b - -,20,206.0
r1bq1rk1/ppp1bppp/4pn2/4N1B1/3P4/3B4/PPP2PPP/R2Q1RK1 b - -,22,68.0
R7/P4p2/r4k1p/8/1K4P1/8/8/8 b - -,41,0.0
r1b5/3n1Qpk/1pNqp3/p2p4/P2P4/2P5/1P1N1PPP/R4RK1 b - -,27,711.0
1r3b1k/6p1/2ppn2P/1p1npN2/7P/2PP1B2/1P2PP2/2BK3R b - -,21,315.0
r4rk1/1p4p1/2P3q1/8/4n3/pPB1Q1P1/P5P1/2RR2K1 b - -,36,82.0
r1r3k1/5pp1/p3b1q1/P2p3p/1p2n3/3BPN1P/1P3PP1/2RQ1R1K w - -,25,65.0
R2R1bk1/8/p4p2/8/8/6PK/rP5P/8 w - -,30,754.0
r2nrb1k/2pq3p/2p1b1p1/p3PpN1/P1N3P1/3PB3/2P2Q1P/R4R1K b - -,21,-46.0
K7/8/8/3k4/4R3/3p4/8/8 w - -,46,0.0
2b5/7r/p3p1k1/1p1pPpPp/1P3P2/2P2B2/1P3K2/R7 b - -,30,245.0
8/5k2/4p3/5p2/1p1PbP2/br2K3/3B4/6R1 w - -,21,-831.0
4R2k/5p1p/3b2p1/qp1p2R1/2p4P/P1P2P2/1PB2P2/1K6 b - -,30,162.0
r1bq1rk1/ppp2ppp/2np1n2/2b1p3/8/2PPPN1P/PP1N1PP1/R1BQKB1R w KQ -,26,9.0
r1bq1rk1/2p2pbp/p1n3p1/1pNpp3/1P2P3/2PP1Q2/P1B2PPP/R3K1NR w KQ -,22,-53.0
r1bqk2r/p3ppb1/2pp2pp/6B1/4P1n1/2N2P2/PPPQ2PP/R3KB1R w KQkq -,25,-25.0
r1br2k1/ppp1n1p1/8/4Ppp1/2P1B3/8/PP3PPP/RN2K2R w KQ f6,29,92.0
r4r1k/pb2q1pp/1p2p2Q/3n1p2/8/1P4PP/PB2PPB1/2R2RK1 b - -,17,54.0
rnbqk2r/pp3ppp/3bpn2/2ppN3/3P1P2/3BP3/PPPN2PP/R1BQK2R b KQkq -,23,-14.0
rn1qkbnr/pp3ppp/2p5/4p3/3pP1b1/6PP/PPPPNPB1/R1BQK1NR b KQkq -,28,0.0
8/pp6/4rk1p/3B2rP/2p3n1/2P5/P1P2KP1/R2R4 w - -,38,0.0
r2qr1k1/pp1n1ppp/2pb1p2/5b2/2BP3N/7P/PPP2PP1/R1BQR1K1 b - -,22,-79.0
3Rn1k1/1pq2ppb/p3p2p/2p1PP2/2P3P1/PPN2N1P/1KP1Q3/8 b - -,24,239.0
r2r2k1/1p2ppPp/3q2p1/3N4/p1PB4/8/PP4PP/3Q1RK1 b - -,23,355.0
r3k1nr/pb3ppp/np1Qp3/2p5/2P5/2B5/PP2BPqP/2KR2NR w - -,25,636.0
8/7k/5Q2/8/1P5B/7P/3nq1PK/8 w - -,32,843.0
8/8/7p/p1k3p1/P5P1/7r/1K3R2/8 b - -,32,-474.0
1r4n1/3b2k1/p1pp3p/6p1/4Pp2/1P1P1q2/P3Q3/2RK3R b - -,22,-893.0
q4r1k/p2b2p1/1p5p/2p5/3b4/1P6/P4PPP/2RQ1R1K b - -,19,-483.0
1k1r1bnr/pp2qpp1/6p1/2pp4/Q5P1/1P2P2P/PBP2PB1/R3K2R w KQ -,21,362.0
8/3R4/6p1/1p1kP3/5P2/7p/1KP2r2/8 b - -,24,-435.0
r1b1kb1r/1p2pppp/p7/q3B3/3Pp3/8/PP2PPPP/2RQKB1R w Kkq -,29,13.0
6k1/p5pp/3p1r2/q2Ppp2/2p1P3/PrP2PP1/3Q2KP/R4R2 w - -,20,-90.0
3rk2r/pR1n1ppp/1b3q2/1Q1p4/8/4PN2/3N1PPP/3R2K1 b k -,23,49.0
6k1/5p2/7p/3bPP2/p1pP2P1/2R4P/1rB5/6K1 w - -,28,152.0
r3q1k1/1b4b1/pp1p1rpp/1Pn5/2BN1N2/P3P3/3Q2PP/2R2RK1 b - -,21,0.0
3r1r1k/1p2q2p/p4p1R/4p1p1/2BnP3/1P2Q3/1PP3PP/5RK1 w - -,22,24.0
5r2/1p2r2k/p1pq3p/2Rn1pp1/NP1Pp3/P3P1PP/4QP2/2R3K1 w - -,22,-131.0
6k1/p5pp/5p2/8/PP2P1K1/5PP1/1b4B1/8 w - -,32,16.0
7r/1p6/2p5/2k5/R5N1/2P3K1/8/8 b - -,22,55.0
r3k2r/1ppq1p2/p3b2p/3pn3/7P/2N1PN2/PPP1QPP1/2KR3R b kq -,24,173.0
2r2kR1/2P5/p4p1r/3N4/4P3/4KP2/P6P/8 b - -,20,720.0
nrnqbkrb/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/NRNQBKRB w - -,23,26.0
r3kb1r/1bppqppp/p7/1p1BP3/3pn3/8/PPP2PPP/RNBQ1RK1 w - -,17,602.0
2r1k2r/4qpp1/p1BRp1b1/1pn1P3/3N2QP/2P1P3/P7/5RK1 b k -,24,372.0
5nk1/rR6/8/1P2PP2/7B/1r2b1PK/8/5R2 w - -,20,446.0
8/5pkp/5pp1/1Q6/8/P1q4P/6PK/8 b - -,44,-314.0
1b2r1k1/1b1nqppp/ppr5/2p5/P2Pp3/1P2P2P/1B1NBPP1/1QRR2K1 w - -,34,125.0
r3kb1r/pp1nnpp1/4p3/q2pP1Bp/2pP3P/2P2N2/PP1NQPP1/R4RK1 b kq -,23,83.0
r1bqkb1r/pp3ppp/4pn2/8/3P1B2/2N5/PP2BPPP/R2Q1RK1 b kq -,12,98.0
r2rn1k1/ppq1b1pb/2p1pp2/2P1N2p/4P3/1PQB3P/PB3PP1/R3R1K1 w - -,30,47.0
5k2/2b2p2/p3pNp1/4P1qp/8/8/P6P/3Q3K b - -,26,-492.0
8/6bk/1p3p2/2p4Q/P1P2BPK/1q6/8/8 b - -,20,14.0
1r6/4k3/2B1pp2/PP1p4/3P1Pb1/2K4p/8/7R w - -,28,700.0
8/5k1p/6p1/1R1PK3/8/7P/6r1/8 b - -,34,0.0
8/5p2/1p4pp/p1nk4/6P1/P1K2P2/7P/N2b4 w - -,24,-727.0
2r2rk1/1p3pp1/1Qn1p2p/3pPn2/3P3P/5NP1/5P2/4R1K1 b - -,28,-3.0
r3k3/pq3b2/1pp1p2Q/2p5/6Pp/2PP4/PP3P1P/R3R1K1 w - -,17,545.0
6k1/3qppbp/b4np1/2p5/8/2Pr1B2/1P1B1PPP/1N1Q1RK1 b - -,20,-250.0
8/1p1n1p2/p1pk2p1/5p2/2P5/1P1NK2P/1P4P1/3B4 b - -,22,421.0
r1bq3r/ppp2kp1/5b2/3p3p/3Q3P/6N1/PPP2PP1/R1B1K2R w KQ -,20,-69.0
2k3nr/2qNppb1/p6p/1p1b2p1/3p2P1/2PP1nBP/PP2QPB1/R4RK1 w - -,21,534.0
rn1q1rk1/ppp2pp1/3bpn1p/3p4/3P1B2/2PQPN2/PP1N1PPP/R3R1K1 b - -,31,0.0
r2q1rk1/ppp3pp/2n2p2/b2pPBB1/3P4/2P1Q3/PP4PP/R3K2R w KQ -,25,414.0
2rq1rk1/p4pb1/4p1p1/2Nn1b1p/8/1N2B2P/PPPQ1PP1/2KR3R w - -,20,-39.0
6k1/3r1ppp/2N5/3p3b/3P4/6P1/5P1P/R5K1 b - -,22,13.0
8/2k5/4R3/4P3/8/5K2/8/r7 w - -,30,0.0
r4k2/bpB2pp1/p1p1b3/8/6n1/1N1B4/PPP1QR1r/4R1K1 b - -,21,-380.0
rnbqk2r/ppp3pp/4pn2/3p1pB1/3P4/P5P1/P1P1PP1P/R2QKBNR b KQkq -,33,-73.0
4r3/8/5kn1/p1Rp3p/Pp1N4/1P3P2/5K2/8 b - -,24,-187.0
r2qk2r/pbp2ppp/1n1bp3/8/2pP2Q1/2N1PN2/PP2BPPP/2R1K2R b Kkq -,23,19.0
2r5/p4pk1/2r1p1pp/8/Pp1p1P2/1P1P1KPP/2n1RN2/2R5 w - -,24,-216.0
r3kb1r/ppp1qppp/1nb5/3pP3/3PnP2/PQ6/1P1N2PP/R1B1KBNR w KQkq -,21,21.0
r3kbnr/pp1n4/1qp1pp2/7p/3P2bB/1P3N2/P1P1BPPP/R2Q1RK1 b kq -,26,-287.0
r1b1k2r/2p5/5p2/ppPPp1p1/4Pn2/4R3/P4P1P/1BN3RK w kq -,28,-69.0
3N2k1/R5p1/7p/P3p1n1/8/6P1/1r3P1P/6K1 b - -,28,8.0
5r1k/2b5/1p5r/p2B1p1p/6pP/2P5/PP4P1/2K1RR2 w - -,28,-33.0
r3r1k1/p1p2p2/1p5p/2BQ2pP/P3P1q1/2P5/7P/3R1R1K b - -,22,302.0
r4rk1/2p1qp1p/p1n1b1p1/1p1BP3/8/2PQ1N2/PP3PPP/3R1RK1 b - -,22,115.0
1rb3k1/p1q2ppp/2p2n2/3p4/5b2/1P1B1Q1P/P1P1RPP1/R5K1 w - -,24,-292.0
2kr1b1r/Qp2qpp1/p1bp2p1/8/4n3/N1P1B3/PP3PPP/2KR1B1R b - -,33,115.0
3r2k1/1b4pp/pq2pp2/1pb5/4nB2/3NP1P1/PP2QPBP/2R3K1 b - -,20,-6.0
8/pp6/4k3/7p/1PPK2P1/P7/8/8 b - -,21,0.0
r2q1rk1/1b2bpp1/1p2p2p/3p4/3N1BnP/PQNB4/1P3PP1/2R1K2R b K -,20,-55.0
8/5P1R/1p1p4/3P2k1/2P1q3/8/P4K2/8 b - -,20,-417.0
8/1r2pp2/3p2k1/p2P2P1/P1P2K2/1P1R3R/8/5r2 w - -,36,24.0
rnb1k2r/ppppbpRp/8/8/3PP1n1/2N2N1q/PPP2P1P/R1BQKB2 b Qkq -,14,581.0
8/5p2/1r3kp1/8/4PPP1/R3K3/8/8 w - -,23,12.0
r3k2r/4np2/bq3bpp/p1pp4/1p2PP1P/2P1B1PN/PP2Q1B1/R2N1RK1 w kq -,22,265.0
5r1k/b1p2pp1/p6p/1p3b2/3r1R2/P3B2P/1P3PP1/4R1K1 b - -,23,-512.0
8/5p2/p4kpp/1p1Qp3/2q5/2P3P1/PP3P1P/6K1 w - -,29,0.0
r2q1rk1/1p3pbp/p1n1b1p1/2p5/3p1B2/3P1N1P/PPPQNPP1/R4RK1 w Qq -,21,-20.0
r2qr1k1/nppb1ppp/3b4/1P6/P3Np2/4PN2/5PBP/R2Q1RK1 w - -,20,118.0
r4rk1/pp2q1bp/2p1n3/P1p2p2/2N2B2/3P3P/1PPQ2P1/R4RK1 b - -,27,106.0
3r3r/1R1kb1pp/B1p1p3/5pB1/3P4/2P5/P4PP1/5K2 b - -,21,519.0
2r3k1/ppr1qppp/4p3/3p2P1/3Pnn2/1Q1B3P/PP1N2K1/R1B2R2 w - -,16,-309.0
6k1/2B2p2/7p/3p2p1/2nP3P/p1P1P1P1/1r3P2/R5K1 b Q -,29,-609.0
2r4k/pp2pp1P/5b2/3nB3/6P1/5N2/PP6/1K5R b - -,21,0.0
r1bqkb1r/ppp3pp/2n2n2/3ppP2/2B5/5N1P/PPPP1PP1/RNBQK2R w KQkq -,26,0.0
2kr3r/pp1b1ppq/2n5/4p3/8/1NP2P2/PP1Q2PP/R1B2K1R b - -,25,-198.0
rnb3k1/pp2prbp/6p1/2pq4/2B5/2N5/PPP2PPP/R1B1K2R w KQ -,24,74.0
2b1rrk1/2q3pp/p2bpn2/1p1pN3/2pP4/P1P4P/1P1NQPPB/2R2R1K b - -,32,43.0
r3kbnr/ppp2ppp/2p2q2/4p3/4N1b1/4PN2/PPPP1PPP/R1BQK2R b KQkq -,26,-46.0
8/8/8/3r2p1/1R3kp1/8/5K2/8 b - -,29,0.0
r2qk2r/p1p1bpp1/Bp2pn1p/8/3P4/5Q2/PPP2PPP/R3K2R w KQkq -,24,-428.0
3rr3/1p6/1Nn3k1/3B1ppp/8/B7/1PP4P/3R1K2 b - -,22,0.0
5k2/pp6/2b1pb1r/3p4/3P2P1/PP3p1q/5Q1N/4RBK1 b - -,23,-437.0
b7/3r1kp1/2p5/pp1pP2N/P1n5/6P1/P1R2P1P/2R3K1 b - -,21,282.0
r3r1k1/3b4/p1n1qnNb/1p6/2p5/P1P4P/1PB2PP1/R1QR2K1 w - -,24,361.0
3rk2r/pp1q4/3pp1pp/2p1n1Q1/4P3/2N4P/PPP2PP1/R3R1K1 w k -,22,48.0
2r5/1rp3pk/3np2p/1PR1N3/PQ1pP2q/3P3P/5PP1/5RK1 b - -,23,460.0
6k1/1pb3pp/8/p1p5/8/3q1NP1/3p1P2/5RK1 w - -,19,-3811.0
8/1R5K/p3kp2/4p3/4P2P/4P3/P1P4r/8 w - -,34,2.0
rq3rk1/1b1nbp1p/p3p1pB/1pp1P3/8/2NBP3/PP2QPPP/2R2RK1 b - -,23,-137.0
6k1/ppp2pbp/2n2Bp1/2r5/2P5/1P2Pp2/P4PPP/2N2RK1 w - -,24,19.0
2k1rbr1/pppqnb2/5p2/3p1p2/3P1P1p/P1NBPQ1P/1PP3N1/R4RK1 w - -,19,-79.0
1r5k/3npp1p/p2p2pP/1prN2P1/1P2PPb1/P7/2PR4/R3KB2 b Q -,27,319.0
4r1k1/3qrpp1/p3b2p/1p1p2n1/2pP1N2/P1P2P1P/1PBQ2P1/1R2R1K1 w - -,32,45.0
1r5r/p4k2/b5p1/2pR1pP1/8/2P5/PPN4P/2K4R b - -,22,-37.0
8/5pk1/8/4p1p1/3p3p/3QqP2/6P1/3K4 w - -,32,-4247.0
1r1q1rk1/pbpp1pp1/1p1b3p/3Bn3/4P3/2N1QN1P/PPP2PP1/R4RK1 w - -,27,29.0
r2qkb1r/p2b1pp1/2pppn1p/8/2B1P2B/2N5/PPP2PPP/R2Q1RK1 b kq -,25,32.0
1rbq1rk1/3npp1p/p2p2p1/2pP4/PpP5/1P1Q2P1/3NPPBP/R4RK1 b - -,23,46.0
3bb2r/p5kp/1pp2pp1/8/2P1BP2/PPB5/2K3PP/4R3 w - -,22,78.0
6k1/6pp/5p2/1Q1p1q2/1P1P1P2/2P5/5RPP/4r1K1 w - -,22,207.0
r1b2rk1/pp1pbppp/1qn2n2/8/1pP1P3/P1Q1B3/3N1PPP/RN2KB1R w KQ -,23,-77.0
1r1qr1k1/1p1b1pbp/p2p2p1/P1pP3n/1n2P3/R1N1BN2/1P3PPP/1BQ1R1K1 b - -,18,54.0
r1bqkb1r/pp2pp2/2np2pp/4n3/4PB2/2N2P2/PPPQ2PP/2KR1BNR w kq -,23,33.0
r5k1/1p1b2pp/p3prn1/2qp4/3N1P2/P1N5/1PP2RPP/R2Q2K1 w - -,25,0.0
rq3rk1/5pbp/2bp1np1/1p2p3/1P2PP2/P1N1BB2/4Q1PP/R4RK1 b - -,20,-58.0
8/5pp1/1k6/1Pb5/2p4p/2Pp4/5PPP/4R1K1 w - -,32,2.0
8/8/4k3/5QK1/8/8/8/3r4 b - -,20,163.0
2nrr1k1/2q2p1p/2p1pbp1/8/2PP4/1Q2B1PP/5PB1/3RR1K1 b - -,16,10.0
1R6/8/3pk3/6p1/3N1pP1/3KnP2/r7/8 b - -,26,0.0
8/5pk1/2R2n1p/1p1p2p1/p2Pp3/4P1PP/Pr3PK1/2N5 w - -,25,-254.0
rq1n2k1/2p1b3/4pr1R/1b1pNpp1/p2P4/P1Q1P1P1/BPP2PP1/1K1R4 w - -,32,0.0
r2k3r/pp2Bppp/1b6/3q4/Q7/8/P4PPP/4R1K1 b - -,21,-440.0
r7/1pp1kN1p/pbnp1p2/4p3/PPB1N1P1/2PP3P/8/R1B1K2n b Q -,18,553.0
2r2k1r/pp2qppp/4p3/2bnPb2/8/NQ6/PP2BPPP/R1B2RK1 w - -,29,32.0
q3k2r/1b1nbpp1/3p1n1p/1B2p3/4P3/2NQBN2/1PP2PPP/4K2R b Kk -,25,-28.0
r5k1/6pp/p7/1pPp1b2/5P2/P6P/2n2P1K/R1B1R3 w - -,27,0.0
q3k2r/p2bppb1/3p1np1/7p/2P5/5PPP/PP2P3/RNBQ1RK1 b k -,32,36.0
r7/1p1nqrk1/2pbn1pp/4p1p1/p1PpP1P1/1P1P1P1P/P3NQBK/R1B4R w - -,27,-281.0
8/5kp1/1R5p/8/3P4/5PK1/1p1r2PP/8 b - -,28,0.0
8/7p/6k1/4Pn2/4KP2/R7/7n/8 w - -,18,760.0
4r1k1/pp1r1p2/2PB1P1p/8/2b5/6P1/n2R2BP/R5K1 b - -,26,414.0
3r1k2/5ppp/1pp5/4p3/4P1n1/2N5/PPP2KPP/4R3 w - -,28,0.0
r2q1rk1/pp3pbp/6p1/3p1n2/2n2P2/P1B2R1P/BPP1N1P1/R2Q3K b - -,21,-104.0
r2q1rk1/2pb2bp/3p2p1/2pPpp2/2P1Pn2/PpN1BP2/4B1PP/1R1Q1R1K w - -,20,-50.0
4q1k1/pp4pp/1bp1Pp2/5P2/2r5/2n2QP1/1B4BP/5R1K w - -,25,443.0
rnb1k2r/pp2bppp/4p3/q7/4N3/6P1/PP3PBP/R1BQ1RK1 b kq -,25,-19.0
r2qr1k1/p4pp1/2bb1n1p/1p1p4/1P1P4/P1N1B1P1/5PBP/R2QR1K1 w - -,20,25.0
2rq4/1p4Q1/pk1pb1p1/4p1bp/1N1nP3/2N4P/1PP1B1P1/5RK1 w - -,23,36.0
rbr3k1/6p1/pB4np/1p3p2/P1p5/2P2P1P/1P3P2/R2R1NK1 b - -,23,-10.0
3q4/6b1/2rp1k1p/pNp1pP2/P1P2p2/2Q2P2/3K4/6R1 w - -,17,517.0
r3r1k1/3q1p1p/pp2pnp1/3p4/3P4/1PN1P1P1/P1R1QP1P/5RK1 w - -,20,37.0
r3r1k1/1p4bp/2p1bn2/p1n1ppB1/2P5/1PN2P2/PKNRB1PP/3R4 w - -,22,-5.0
r1k4r/pbpp2pp/2P5/q3Q3/2P2B1P/2R5/1P2BPP1/4K3 b - -,23,480.0
r1br2k1/pp3p1p/4pnp1/8/3N3P/8/PPP1BPP1/2KR3R b - -,29,0.0
rr6/p4pk1/2p1pb1p/3p2p1/3q4/1P2Q2P/P1P2PPK/R4R2 w - -,24,-538.0
2kr3r/pp2ppb1/1q2b3/2ppP1pp/7n/1PP1P2P/P1QN1PPB/2KR1B1R w - -,27,-65.0
r1b2rk1/pp3ppp/2pq1n2/3n2B1/2B5/1QP2N2/P4PPP/3R1RK1 w - -,23,-28.0
k2N4/1p3r2/8/4Q3/6p1/1P4Pp/q2p3P/3R2K1 b - -,23,-735.0
r5k1/1N3ppn/p6p/8/4Pn2/1PB4P/1P1r1PP1/5RK1 w - -,25,301.0
r1bqk2r/pppp1ppp/2n2n2/2b1P3/3p4/N1P2N2/PP3PPP/R1BQKB1R b KQkq -,26,-62.0
2q3k1/1ppr1pp1/4b1np/4p2n/2P1P3/4BNPP/1PQ1BPK1/7R w - -,23,37.0
3r2k1/1b2qppp/1p1Np3/p7/1n1P4/4P1P1/1Q3PBP/2RR2K1 b - -,22,135.0
3Qr1k1/7p/3n2p1/2p1q3/1p1p1RPP/1P3P2/P4K2/2R5 w - -,56,0.0
1kr5/1bpr2pp/p2b4/Q2p4/1P1N4/B4P2/P5PP/4R1K1 b - -,20,601.0
6k1/b1q2ppp/p3r3/n2p4/Q2P4/3NP1P1/1P3R1P/7K w - -,17,-391.0
3rr1k1/1p2b2p/p1q2np1/3p4/PP3P2/NBPQ1RB1/6PP/7K b - -,25,-145.0
2b2r1k/5r1p/pQ4p1/P1NpP3/3P4/7P/1P1bR1P1/6K1 b - -,25,446.0
3rB1k1/1b3p1p/pp3Q2/2b1n3/8/1P3p2/PB3PPP/2R3K1 b - -,28,452.0
6k1/8/2pNp3/p1q3p1/p1N5/P2P1P2/P1P2P2/2K5 w - -,25,-161.0
8/8/4kr2/2K5/8/8/8/3Q4 w - -,20,3092.0
5rk1/4Rpp1/2p4p/1p1p4/1Q1P4/6RP/2P2qPK/r7 w - -,20,-342.0
8/5p2/1p3k1p/4p1p1/P5P1/1b2PP1P/8/3BK3 b - -,39,-14.0
2r3k1/5p1p/n2R2p1/8/2p3P1/P3BK1P/1r6/2R5 b - -,44,-9.0
8/pr1r1p1k/1p2bBp1/2p1P2p/P1P2P2/1P5P/4RRP1/4K3 b - -,22,33.0
2r4r/5k1p/p3Rbp1/8/8/5Q2/P1Pq1PPP/4R1K1 b - -,31,278.0
8/p3p1kp/1p6/2P3P1/3q4/2P3N1/PP3PP1/3K4 w - -,21,860.0
8/5p2/p2P3k/P3p3/4Pn2/r7/3N1K2/4NB2 b - -,22,307.0
rnr3k1/pp1b1pbp/5np1/3P4/1Bp1P3/2N2N2/PP3PPP/2KR1B1R b - -,27,0.0
4k3/1PK5/8/8/7p/5b2/6p1/6R1 b - -,22,-332.0
8/R7/p3p3/P3Pp1p/1Pp3rP/2k5/5K2/8 b - -,23,-708.0
5k2/R7/8/4PKPp/8/8/8/1r6 w - -,20,469.0
r1b1r1k1/p1ppqppp/1p3n2/3PQ3/5B2/2P5/PP2BPPP/RN2K2R w KQ -,25,421.0
2rqr1k1/1b1nbppp/p2p1n2/1p6/3pP3/P1NBB3/1P1NQPPP/2R1R1K1 w - -,21,-8.0
rn1qr1k1/ppp1bppp/8/P2P4/8/P1N2b2/1B2BPPP/R2QK2R w KQ -,25,614.0
8/2k2r2/1n2R2p/p4Pp1/P1pPN1P1/2P2K2/8/8 w - -,27,620.0
r5k1/pp4pp/2p5/2P1Q3/1P1p4/P2Pn2b/1B3r2/R1K5 w - -,22,221.0
r1b2r2/4q1bk/p5pp/PppP1p2/4p3/2N1P2P/BPQ2PP1/R4RK1 w - -,24,-116.0
4r3/p1pb1ppk/3p1q1p/2nB1P2/1Q2p3/7P/P1P1R1P1/5RK1 b - -,28,-155.0
rn3rk1/pp2bppp/1qp1pn2/8/2P5/1P3QNP/P3BPP1/R1BR2K1 b - -,21,-79.0
r1bqk1nr/pp2b1pp/2np4/2p1pp2/2P1P3/P2P1N2/1P1BBPPP/RN1QK2R b KQkq -,26,-32.0
R7/5k1p/6p1/p1B5/P7/1rb3P1/5PK1/8 w - -,36,1.0
1b6/1P5p/2k5/8/4pp2/1pB4P/4KPP1/8 w - -,21,-191.0
r1bqk2r/pp1pppbp/2n1Pnp1/8/2B5/2N2N2/PP3PPP/R1BQK2R b KQkq -,22,-212.0
1R6/5pk1/1p2p1p1/7p/7P/2r2BP1/4K3/8 b - -,36,0.0
6k1/1p1b1p1p/p1n2P2/3Br3/Pb6/2N4P/1P4P1/3R2BK b - -,22,215.0
r1bq1rk1/p4ppp/1p1bpn2/n1P5/8/P1NBPN2/1P3PPP/R1BQR1K1 b - -,28,46.0
2r2rk1/1p1qbppp/p3n3/2pBp3/P2PP3/2P1B2P/1P3QP1/R4RK1 b - -,23,-84.0
5rk1/4RN1p/2qP1pp1/p7/r1p4P/4Q3/1P3PP1/6K1 b - -,31,642.0
r1b2rk1/ppp1qpp1/3b1n1p/3p1p2/3P4/2P1PN2/PPQNBPPP/R4RK1 w - -,24,-34.0
8/5pk1/5bp1/3B3p/1q5P/1P3QP1/5PK1/8 w - -,29,6.0
r3k2r/5pp1/p6p/3pP3/1bp3P1/8/PP1N1qP1/K2R1B1R w kq -,18,-742.0
